,rgdp,rgdp_noil,gdp_nom,gdp_nom_noil,gdp_def,gdp_noil_def,cons,gov_cons,ex,im,inv,freig_tur,gas_prod,elect_prod,oil_prod,bus_conf,cap_inv,gov_exp,gov_rev,trade_tur,trade_tur_food,trade_tur_nonfood,paid_services,transactions,atm_pos,income,nom_wage,cpi,cpi_food,cpi_nonfood,cpi_service,ppi_ag,ppi_manf,int_rate1,int_rate10,interbank_rate,mortg_loans,mortg_rate,loans,fexc_res,neer,reer,mo,m1,m2,m3,demand_econ,im_custom,ex_custom,oil_price,cpi_rus,cpi_turk,im_rus,im_tur,cons_conf,ind_output,ag_output,cap_util,turk_gdp_sa,rus_gdp_sa,azn_usd
2010-10-31,,,,,,,,,,,,2.2,1.4,1.3,4.6,6.63,900,807.5,913.9,1217.6,,,447.3,509,430.13,2311,320,172.0705212,101.4,100.9,99.8,100.9,100.4,20.52,8.06,13.88,92.64,6.89,9065.23,6127.9,100.67,120.55,4942.59,5992.19,7314.54,9619.92,9255.3,592.5,1697.8,82.92,67.17,69.98,24453,17296.7,,10748.6,,,,,0.801586711
2010-11-30,,,,,,,,,,,,2.2,1.5,1.6,4.2,10.18,646.7,777,773.6,1182.3,,,428.6,486,468.11,2388.2,321.2,173.6289265,102.5,100.4,100.9,100.43,101.2,16.95,9.5,13.41,100,6.91,9091.74,6079.3,101.82,123.76,4994.32,5946.48,7417.66,9620.77,9350.8,574.7,2037.9,85.67,67.71,70,24544,17134.8,,14506.9,,,,,0.800011794
2010-12-31,8094.3,2806.5,11391.5,5755.8,140.73,205.09,4683.1,1375,6711.1,2555.3,1743.6,2.2,1.2,1.8,3.7,-2.16,2010.7,3345,2211.1,1645.9,,,568.1,755,461.15,2927.2,325,175.1506754,102,100.9,100.2,101.7,101.6,15.73,7.97,13.13,110.85,6.93,9163.36,6407.6,104.24,127.68,5455.78,6838.35,8297.47,10527.49,9386.3,887.8,1921.2,91.8,68.44,69.79,26956,20558.9,,13471.3,,,285707.301,19913460.6,0.798927822
2011-01-31,,,,,,,,,,,,1.9,1.2,1.8,4.1,-1.26,432,383,1120.1,1224.1,,,411,447.97,372.54,1910.7,325.1,176.4521969,101.5,100,99.6,102.2,100.5,20.35,9.02,11.86,3.4,6.94,9149.77,6566.9,103.78,128.06,5266.82,6294.9,7763.8,10107.26,9383.3,595.27,1572.81,96.3,70.07,70.07,16228,16905.4,,2875.1,,,,,0.797464217
2011-02-28,,,,,,,,,,,,1.9,1.3,1.7,3.8,3.4,688.3,803.4,707.9,1156.9,,,349,543.09,418.68,2247.7,332.3,179.8220869,102.2,100.1,104.3,102.5,100.4,20.55,8.22,12.1,9.6,6.93,9152.8,6705.2,102.76,128.86,5363.09,6481.7,7907.69,10272.61,9401.9,734.42,1816.81,103.96,70.61,70.58,21670,17520.2,,1985.7,,,,,0.795246429
2011-03-31,5019.1,2047.8,10751.8,4910.7,214.22,239.8,4176.8,912.5,5421.6,2368.8,2087,2.1,1.5,1.9,4.1,8.99,655.5,900.9,940.3,1384.4,,,410.6,670.89,390.95,2338.1,339.6,180.8620401,101.8,99.8,100.3,101.4,100.2,20.45,7.54,11.48,19.8,6.94,8365.99,6718.4,101.32,127.28,5427.05,6618.41,8115.49,10757.4,8597.3,562.88,2055.18,114.44,71.05,70.88,26794,21643.5,,6503.6,,47.7,292146.7383,20125954.9,0.793390323
2011-04-30,,,,,,,,,,,,2,1.4,1.6,3.9,5.96,813.4,736.3,1279.9,1134.6,,,332.5,505.51,356.14,2362.4,348.6,180.7648214,99.3,100.1,100.1,99.9,101.1,20.55,7.22,11.04,30,6.93,8569.63,6949.2,99.07,123.26,5457.8,6635.08,8176.44,10760.57,8894.02,824.66,2559.62,123.15,71.36,71.49,26919,20953.5,,5138.2,,,,,0.791956667
2011-05-31,,,,,,,,,,,,2.1,1.4,1.3,4,8.47,826.5,859.4,777,1353.2,,,357.1,582.37,313.61,2333.6,349.6,181.2739061,99.1,100,100,99.4,100.4,18.43,8.38,10.96,40.4,6.92,8680.43,6898.8,99.77,123.21,5610.29,6809.26,8392,11056.13,9040.05,752.2,2578.71,114.46,71.7,73.22,27930,21107,,9702.7,,,,,0.790519355
2011-06-30,5845.1,2654.8,12326.1,5707.7,210.88,215,4791.9,1109.7,6666.2,2752.4,2539.8,1.6,1.4,1.3,3.9,10.18,1060.9,1199.1,785.6,1312.8,,,420.3,551.67,347.28,2296.7,351.3,181.7530587,98.2,99.9,100,100.1,100.1,20.09,8.17,10.82,49.4,6.91,8885.89,6947.5,100.22,122.78,5851.63,7102.84,8735.36,11412.52,9231.07,854.61,2508.08,113.76,71.86,72.18,27478,21605.3,,8171.8,,50.4,300174.0274,20330557.6,0.788036667
2011-07-31,,,,,,,,,,,,2.5,1.4,1.6,3.8,9.64,1014.9,1319.1,1258.1,1307.8,,,457.8,645.25,360.94,2848.3,352.7,181.8680892,98.4,100.1,100,96.6,99.3,19.24,7.95,11.88,57.1,6.91,9050.17,7073.8,101.09,123.3,6198.99,7660.53,9351.38,11921.23,9425.65,797.33,2392.74,116.46,71.86,71.88,26855,21061.3,,12594.4,,,,,0.7865
2011-08-31,,,,,,,,,,,,2.6,1.2,1.5,4,9.82,906.9,1332.6,869.9,1325.5,,,461.5,691.82,364.65,2692.7,353.7,183.1540266,101,100.2,100.3,100.3,100,20.08,8.36,10.72,75.5,6.91,9458.35,7114.2,101.55,124.23,6493.74,7870.52,9569.83,12336.25,9843.78,720.88,2313.51,110.08,71.68,72.4,29428,19679.4,,11160.2,,,,,0.786467742
2011-09-30,7696.7,3281.5,12721.1,6583.3,165.28,200.62,5341.2,1403.6,7596.6,3655.8,2624.1,2.1,1.4,1.2,3.9,10.14,1178.3,1201,1240.1,1436.2,,,482,626.46,349.85,2746.1,354.5,184.3908746,101.9,100.4,100.1,101.8,100,19.76,8.49,10.35,88.29,6.91,9597.65,6943.3,104.46,128.34,6465.9,7798.3,9630.28,12652.17,9997.82,1007.24,1947.81,112.45,71.66,72.95,26841,21203.7,,15510,,46.8,308155.1839,20576576.5,0.786666667
2011-10-31,,,,,,,,,,,,2.3,1.2,1.4,3.5,3.68,1072.6,1162.8,1569.8,1446.5,,,506,585,326.18,2762.3,355.1,183.8017301,100.1,100.4,99.5,100.5,100,18.76,7.71,9.61,91.1,6.9,9706.15,7074.3,105.1,128.61,6505.27,7825.5,9748.64,12652.22,10110.52,780.51,2393.86,109.47,72,75.33,28702,19919.2,,13959.5,,,,,0.786903226
2011-11-30,,,,,,,,,,,,2.3,1.4,1.9,3.2,1.11,1367.9,1489.7,1090.2,1372.4,,,486,608.64,317.78,2739.3,355.7,184.2465166,101.9,100.4,100.1,100.1,102.2,18.22,7.45,9.91,103.77,6.9,9782.79,7027.6,105.7,130.36,6529.38,8022.57,9991.94,12830.74,10187.59,879.31,2504.06,110.5,72.3,76.64,29755,18649.3,,18097.9,,,,,0.786606667
2011-12-31,7794.8,3125.2,16283,6844.2,208.9,219,5095.1,1848.9,9703.9,3764.9,3258,2.2,1.6,2.1,3.4,-2.57,2759.2,2705.3,4044,1991.4,,,658.6,771.08,339.36,3355.6,356.6,184.7568123,101.5,100.1,100.6,101.2,101.7,19.69,7.58,9.78,115.54,6.91,9850.3,10481.5,108.1,134.22,7158.16,8796.01,10997.16,13903.18,10294.25,1246.66,1927.7,107.97,72.62,77.08,29955,20593.9,,16929,,50.5,312337.8111,20830212.5,0.786390323
2012-01-31,,,,,,,,,,,,2,1.6,2.1,3.9,-1.16,459.4,460.8,1547.9,1360.3,,,478.3,531.19,285.24,2062.4,363.1,184.725764,100.1,100,100,100.6,99.8,18.59,8.31,9.86,2.57,6.9,9984.56,10583.8,109.35,136.24,6810.79,8326.3,10550.65,13474.63,10341,657.31,1848.82,110.99,72.98,77.51,19141,17469,,3064.6,,,,,0.786345161
2012-02-29,,,,,,,,,,,,2.1,1.4,2,3.6,3,737,826,927.5,1256.9,,,372.8,693.73,280.69,2481.3,368.4,184.3703864,100.2,100,100.1,99.1,100.2,9.11,7.5,9.76,9.02,6.9,10106.91,10769.7,107.09,133.06,6911.19,8375.62,10694.32,13799.16,10481.6,675.58,2200.08,119.7,73.25,77.95,24696,17787.3,,2933.9,,,,,0.786272414
2012-03-31,5115.3,2302.4,12964.6,5410.9,253.45,235.01,5072.5,1206,5492.2,2162.9,2739,2.3,1.6,2.1,3.8,9.36,903,1556.2,1012.3,1509.2,,,461.6,784.08,276.16,2687.9,380.6,184.0943987,100.7,99.9,100,99.8,102,18.65,6.69,9.73,15.39,7.21,10163.21,10822.6,107.27,132.55,7241.32,9009.91,11263.44,14319.88,10503.5,721.26,1791.7,124.93,73.68,78.27,28405,20677.5,,6429.2,,47.8,309558.7112,21145220,0.786251613
2012-04-30,,,,,,,,,,,,2.1,1.4,1.5,3.5,17.02,1625.5,1051.5,1898.5,1217.4,,,355.5,647.43,280.39,2529.5,378.9,183.6383022,99.1,100,100,98.5,101.1,18.76,7.17,10.27,23.97,7.17,10363.27,10951.7,107.42,131.49,7312.78,8987.96,11202.4,14346.2,10726.9,847.25,2592.51,120.59,73.91,79.46,26771,19272.8,,5833.3,,,,,0.786106667
2012-05-31,,,,,,,,,,,,2.2,1.4,1.4,3.7,17.75,748.5,1753.9,1329.5,1462.3,,,393.3,740.24,242.82,2597.6,379.1,183.3368157,98.1,100,100.2,99.6,100.4,17.74,5.82,9.58,31.74,7.14,10511.52,10891.9,109.62,133.01,7509.92,9210.46,11456.7,14579.48,10904.4,772.65,2301.44,110.52,74.29,79.29,28156,21750.4,,9168.2,,,,,0.785919355
2012-06-30,5848,2805.5,13090.3,6621.6,223.84,236.02,5162.4,1248.9,6488,3200.1,2904.9,1.7,1.4,1.5,3.7,15.95,1451.5,1461.6,1418.7,1390.4,,,443.4,676.28,272.82,2741.1,386.2,183.2107679,97.3,100,100,98.3,99.3,18.89,9.04,9.51,56.63,7.1,10734.81,11046.3,111.96,134.13,7751.81,9475.38,11753.66,14527.48,11111.7,785.13,1976.95,95.59,74.95,78.58,26979,20437.9,,8369.5,,53.9,314906.4212,21230630.9,0.785736667
2012-07-31,,,,,,,,,,,,2.6,1.5,1.6,3.6,17.98,1201.1,1495.7,1547.3,1400.7,,,485.9,811.19,302.28,3132,384.5,183.4523862,98.6,100,100,99.8,96.1,19.01,9.51,9.3,39.84,7.08,10726.41,11122.7,113.04,134.71,8012.35,9688.92,11971,14703.04,11074.2,840,1371.27,103.14,75.87,78.4,29700,20835.2,,11916.9,,,,,0.785605161
2012-08-31,,,,,,,,,,,,2.8,1.1,1.8,3.6,13.52,1257.9,1118.5,1309.7,1375.2,,,500.6,718.6,306.58,3133.2,386,182.9752285,99.2,100,99.7,98.5,99.5,16.96,7.09,9.43,42.64,7.07,11057.8,11279.3,112.49,132.89,8134.57,9931.3,12218.29,15002.99,11446.4,716.61,1744.56,113.34,75.95,78.83,29959,18828.5,,11117.2,,,,,0.78543871
2012-09-30,7838.1,3641.3,14235.1,7582.6,181.61,208.24,5717.6,1515.1,7895.2,3707.8,3263.6,2,1.4,2.1,3.4,12.98,1466.7,1350.1,1530.1,1470.9,,,529.4,734.44,311.47,2863.4,390,183.3208047,101.1,100,100.2,101.7,102.3,19.45,6.78,8.36,46.24,7.03,11380.82,11506.5,110.08,130.03,8315.43,10069.71,12402.36,15343.33,11736.1,750.76,1962.41,113.38,76.37,79.65,27364,19924.3,,14685.1,,55.9,320463.8704,21340142.2,0.785266667
2012-10-31,,,,,,,,,,,,2.4,1.6,1.4,3.2,7.58,1285.2,1135.3,1704.7,1554,,,548.1,794.73,292.29,2900.1,388.2,183.7875629,101.5,100,100,103.6,102.4,14.08,9.45,8.51,50.62,7.01,11643.49,11743.2,109.26,129.62,8415.54,10114.96,12563.57,15606.57,12009.3,895.49,1948.51,111.97,76.72,81.21,32157,18786.7,,13859.4,,,,,0.785074194
2012-11-30,,,,,,,,,,,,2.4,1.3,1.8,3.4,0.97,1479.3,1730.5,1462.7,1442.1,,,539.7,768.88,279.87,2777.5,390.2,184.2837965,101.9,100.3,100.1,100.3,100.9,18.32,7.72,8.75,61.54,7,11730.51,11686,110.04,131.98,8383.59,10122.48,12649.59,15787.74,12125.6,782.87,2355.98,109.71,76.98,81.52,30587,20948,,17172,,,,,0.784876667
2012-12-31,8134.9,3526,14453.7,8130.5,177.68,230.59,5655.4,1792.3,9124.9,4773,3385.3,2.3,1.5,2.1,4,-7.66,2792.2,3116.75,1593.1,2119.7,,,719.5,925.97,291.84,4817.9,396,184.4160255,101.3,100,100,100.3,99.4,20.11,12.74,9.04,75.17,7,12243.72,11694.8,108.34,130.27,9256.64,11122.11,13806.38,16775.3,12656.3,1207.94,1813.73,109.64,77.4,81.83,31855,19827.5,,17393,,50.6,325600.5596,21354483.2,0.784832258
2013-01-31,,,,,,,,,,,,2,1.5,2.1,3.8,1.32,617.7,1391.7,1768.1,1481.7,,,536.1,622.71,253,2273.8,398.4,186.2920387,100.56,100.11,103.05,101.6,99.8,17.04,1.29,9.15,2.06,6.99,12479.27,11964,107.3,130.84,8817.63,10644.17,13685.94,16619.29,11945.56,627.6,1922.71,112.93,78.15,83.17,21712,19564.5,,2970.3,,,,,0.784793548
2013-02-28,,,,,,,,,,,,2.2,1.4,1.9,3.4,8.38,1062.4,1501.7,1433.9,1365.8,1597,1250.5,407.3,819.63,271.61,2511.7,397.4,186.6735719,101.03,99.97,99.98,99.9,101,19.11,9.71,8.24,7.89,6.99,12207.92,11948.3,107.07,130.65,8857.59,10857.35,13905.87,16765.07,11662.74,806.25,2261.11,116.46,78.58,83.42,26484,20345.7,,2618.7,,,,,0.7847
2013-03-31,5233.1,2386.9,12917.5,6256.8,246.84,262.13,5325.4,1340.8,5620.1,2853.4,2882.2,2.4,1.5,2,3.6,16.19,1222.1,1621.4,1467.6,1683.8,929.5,754.3,515.7,864.84,273.22,2951.2,405.1,187.0403224,101.3,99.96,100.01,101,100.6,18.6,7.5,8.64,35.19,6.99,12451.11,12332.6,109.18,133.1,8999.17,11100.92,14184.52,17445.15,11824.59,777.77,2161.94,109.24,78.85,83.98,28370,21322.8,,5797.8,,47.7,335140.2836,21512644,0.784835484
2013-04-30,,,,,,,,,,,,2.3,1.5,1.8,3.5,9.8,1350.5,1728.6,1984.3,1356.4,662.1,694.3,389.9,796.3,257.07,2523,407.2,187.8651332,100.88,99.97,99.98,98.5,99.5,17.98,5.18,8.25,32.14,6.97,13019.49,12499.9,109.03,133.38,8983.87,11226.77,14369.79,17480.38,12385.5,934.39,2071.54,102.88,79.25,84.33,29849,23688.3,,5314.5,,,,,0.78461
2013-05-31,,,,,,,,,,,,2,1.5,1.6,3.8,19.16,1509.9,1191,1595.5,1598.9,797.4,801,436,848.12,253.84,2732.8,409.3,188.4815192,99.1,100.09,100.08,100,98.7,18.11,7.58,7.94,49.54,6.95,13406.32,12572.3,109.27,132.96,9098.24,11292.06,14515.32,17633.85,12773.73,1212.16,1948.35,103.03,79.78,84.45,26383,23838.8,,8570.6,,,,,0.784583871
2013-06-30,6292,3198.1,13919.2,7422.8,221.22,232.1,5727.3,1274.5,7025.8,3370.3,3211.1,1.5,1.5,1.5,3.7,24.05,1599.2,1295.6,1275.4,1581,779.3,802.2,496.6,772.75,244.12,2838.2,411.3,188.6555695,97.42,99.97,100.07,99,99.2,18.92,7.95,8.27,64.18,6.3,13774.08,12720.4,108.92,130.72,9219.74,11470.31,14682.52,17506.28,13065.31,815.1,1604.41,103.11,80.11,85.1,28243,21694.3,,8056,,55.1,344979.252,21585902,0.784596667
2013-07-31,,,,,,,,,,,,2.7,1.4,1.8,3.7,15.49,1437,1494.2,1845.2,1583.6,734.7,797.7,518.9,920.42,252.58,3083.7,413.1,188.8428203,98.32,99.96,100.12,99.6,100.4,17.02,8.49,7.98,93.28,6.36,14199.28,12880.3,109.68,130.82,9455.09,11630.12,14916.31,17954.12,13495.46,1007.57,1893.88,107.72,80.77,85.36,30263,23981.8,,11402.5,,,,,0.784406452
2013-08-31,,,,,,,,,,,,2.8,1.4,1.7,3.6,14.25,1580,1398.9,1518.6,1556.8,843.3,764.7,555.1,844.88,239.65,3118.9,414.1,188.6967775,99.18,100.03,100.11,100.8,100.9,17.45,12.02,8.49,79.06,5.74,14455.07,12958.9,108.82,129.27,9516.86,11796.89,15163.18,18002.77,13626.72,951.3,2090.72,110.97,80.88,85.27,28351,19104.4,,10896.8,,,,,0.784432258
2013-09-30,8316.1,4051.8,15466,8661.9,185.98,213.78,6497.5,1656.9,7485.9,4321.2,4104.2,2.2,1.4,1.5,3.4,13.23,1447.7,1096.6,1393.2,1659.8,854.9,804.9,601.3,832.99,244.04,3360.3,415.3,188.2303457,100.07,100.15,100.03,101.3,100.6,17.09,7.64,10.26,82.01,5.64,14793.33,13262.7,109.35,129.51,9559.95,11817.31,15264.93,18210.15,13935.32,936.09,2103.23,111.62,81.05,85.93,28692,21328.1,25.84,14096.2,,56.7,350036.5656,21594649.4,0.78445
2013-10-31,,,,,,,,,,,,1.8,1.5,1.7,3.6,12.11,1263.4,1301,1952.8,1763.6,896,867.6,593.3,901.21,244.14,3670.6,416.6,188.6668077,101.18,100.43,100.16,100,100.2,16.71,11.88,8.42,86.45,6.51,14991.4,13584.1,107.74,128.26,9724.35,11932.93,15495.52,18449.54,14101.34,808.52,1863.36,109.48,81.51,87.47,30648,20443.8,,13673,,,,,0.784393548
2013-11-30,,,,,,,,,,,,3,1.6,1.8,3.4,6.7,1502.4,1238.7,1437.8,1593.5,811.6,781.9,617.7,923.41,251.16,3193.7,417.3,188.894947,101.37,100.15,100.13,100.5,99.8,17.31,6.78,10.1,96.42,6.89,15245.29,13742.5,108.71,130.28,9849.36,12078.14,15673.9,18856.38,14395.26,851.08,2072.01,108.08,81.97,87.48,29793,21916.5,,16824.9,,,,,0.784346667
2013-12-31,8669.1,3976.1,15879.3,9172.3,183.17,230.69,6829.8,1710.8,8037.5,4733.7,4809.9,2.3,1.7,2.3,3.6,-4.97,3258.5,3852.6,1821.6,2431,1264.6,1166.4,859.4,1149.42,264.72,5297.6,420.5,191.2585881,102.58,102.73,100.45,100.4,100.8,16.8,8.45,10.11,112.91,6.88,15422.94,14152,108.06,131.47,10458.65,12736.89,16434.78,19289.44,14492.75,984.69,1982.17,110.63,82.39,87.88,32481,23593.8,24.46,16534.5,,55.1,350715.0398,21719341.8,0.784409677
2014-01-31,,,,,,,,,,,,1.9,1.6,2.3,3.6,0.18,660.9,1473.04,1710.9,1665.9,900.3,765.6,578.8,777.79,230.54,2618.2,426.2,190.4283041,100.22,100.02,99.11,100.5,106.2,15.52,13.79,9.28,3.42,6.88,15484.64,14219.3,108.97,132.81,9911.73,12277.3,15982.88,19044.85,14574.46,535.83,1870.83,107.57,82.87,89.62,20977,20139.3,,2758.6,,,,,0.7844
2014-02-28,,,,,,,,,,,,2,1.5,2,3.3,3.61,1163.7,1589.52,1401.1,1527.4,804.2,723.2,431.5,941.4,279.97,3017.8,426.3,190.533109,100.8,100,100.01,100,113.1,17.4,8.89,7.64,13.66,6.87,15616.3,14444.8,110.1,134.1,9956.13,12351.35,16124.66,19273.56,14847.82,654.22,1907.68,108.81,83.45,90.01,24089,18829,,2615.2,,,,,0.784378571
2014-03-31,5334.3,2580.3,13117.1,6876.1,245.9,266.48,5638,1394.3,5292.7,2841.6,3263,2.1,1.4,2.1,3.6,4.67,1301.3,1311.7,1368,1890.4,994.7,895.7,555.9,1018.96,280.46,3445.8,434.2,190.3460501,100.63,100.01,100.06,99.7,99.7,17.35,8.63,9.77,37.4,6.86,15889.52,14715.7,109.8,133.1,9953.61,12300.49,16132.31,19377.02,15228.11,574.09,1598.79,107.41,84.3,91.02,27372,21285,26.35,5609,,43.8,360889.5484,21717771.3,0.784341936
2014-04-30,,,,,,,,,,,,2.1,1.6,1.7,3.7,13.6,1502,1694.39,1989,1502.6,725.8,776.8,411.7,938.32,287.6,3015,436.6,190.7696871,100.23,100.24,100.1,99.9,99.6,15.71,7.68,10.05,41.97,6.85,16245.38,14871.1,110.1,133.1,10050.7,12437.77,16489.68,19792.56,15634.96,970.13,1778.86,107.88,85.06,92.24,27753,21425.9,,5493.3,,,,,0.784336667
2014-05-31,,,,,,,,,,,,2.2,1.5,1.6,3.7,17.35,1493.3,1271.72,1569.7,1746.5,846.2,900.3,467.5,988.18,282.97,2945.6,438.1,190.5900902,98.11,99.97,100.04,99.5,100,16.14,7.1,10.13,52.71,6.83,16595.37,15091.3,109.8,131.2,10207.24,12545.78,16695.75,19968.56,16036.18,775.26,2323.08,109.68,85.83,92.61,26159,21480.4,,8506.1,,,,,0.784370968
2014-06-30,6454.1,3436,15292.1,8217.9,236.94,239.17,6993.2,1551.7,6781.5,3627.1,3434,1.5,1.5,1.7,3.4,20.94,1504.7,1383.42,1293.4,1751.4,851.1,899.8,537.1,970.26,289.38,2738.2,439.7,190.5893004,97.08,99.92,100.15,99.4,100.8,16.58,8.26,9.7,60.71,6.83,16754.8,15163.2,110.26,129.81,10335.52,12710.58,17005.08,20569.25,16123.15,625.3,1766.97,111.87,86.36,92.89,26745,21554.2,24.95,8477,,45.9,355034.4539,21822403.3,0.784303333
2014-07-31,,,,,,,,,,,,2.6,1.7,1.8,3.7,24.36,1449.6,1587.4,1748.4,1758.8,857.7,901.6,549.9,1090.08,301.76,3238.7,440.7,190.5779752,97.99,100,100.2,97.36,99.9,17.75,10.13,9.42,76.69,6.82,17034.05,15193.4,110.23,128.93,10508.86,13036.84,17435.08,21225.4,16417.85,749.61,2002.8,106.98,86.78,93.32,29153,20769.7,,11368.5,,,,,0.784329032
2014-08-31,,,,,,,,,,,,2.8,1.5,2.1,3.7,17.26,1369.8,1157.7,1320.1,1756.4,856,900.4,584.4,949.65,282.15,3025.5,440.8,190.9442421,99.93,100.04,100.03,102.3,99.3,17.17,9.9,9.58,73.23,6.82,17308.95,15190.9,112.33,131.15,10488.03,13000.91,17452.39,21306.4,16744.6,728.04,2102.02,101.92,86.99,93.41,25278,20282.4,,11274.1,,,,,0.784309677
2014-09-30,8536.9,4321.8,15870.9,9444.2,185.91,218.52,7039.8,1744,7215.7,4317.4,4548.2,2.2,1.5,1.7,3.4,13.64,1423.2,1225.11,1659,1871.3,912.1,959.2,644.2,983.96,285.89,3123.8,441.5,192.4128692,102.63,100,100.05,102.08,99.6,17.09,7.83,9.66,98.63,6.82,17631.59,15042.4,115.3,135.4,10389.98,12834.78,17367.81,21133.13,17049.98,908.59,2005.81,97.34,87.56,93.54,26037,21464,24.04,13970.5,,48,363761.8554,21752993.2,0.784356667
2014-10-31,,,,,,,,,,,,1.6,1.7,1.8,3.6,5.99,1351.3,1166.8,1712.2,2000.3,980.4,1019.9,641.7,989.34,288.43,3208.6,441.8,192.2705545,100.62,99.99,99.96,102.6,98.3,16.68,9.87,7.86,81.98,6.82,17841.52,15033.6,117.41,137.77,10306.39,12680.8,17370.04,21372.11,17274.51,839.73,1838.11,87.27,88.28,95.31,26785,20051.1,,13832.6,,,,,0.784329032
2014-11-30,,,,,,,,,,,,3,1.5,2.1,2.8,8.84,1473.3,1246.1,1387.1,1768.5,907,861.5,656.9,977.29,287.96,3250.7,442,191.6393841,100.23,99.99,99.99,103.71,97.2,18.74,9.31,7.94,88.6,6.81,18151.9,14996.3,120.58,141.59,10318.28,12775.72,17525.15,21689.76,17613.64,751.32,1518.52,78.44,89.41,95.49,23072,21707.2,,15998.1,,,,,0.78439
2014-12-31,8982.6,4333.4,14734,9840.6,164.03,227.09,7143.6,1734.2,6247.6,4681.3,4942.6,1.8,1.7,2.2,3.5,1.34,2925.5,3602.1,1241.7,2762.2,1387.7,1374.5,956.8,1245.23,309.15,5732.8,444.3,191.2980683,101.12,100,100.15,101.52,97.9,16.22,7.74,7.78,97.1,6.79,18542.61,13758.27,124.45,146.59,10152.45,12830.42,17435.83,21566.36,17896.84,1075.58,1115.15,62.16,91.75,95.06,24457,22154.4,23.83,15868.3,,53.7,368663.7625,21701735.7,0.784445161
2015-01-31,,,,,,,,,,,,2,1.8,2.3,3.7,-6.31,682.7,1263.18,1682.2,1820.8,913.8,907,615.5,899.37,278.36,2680.9,444.4,191.095406,100.4,99.97,100.05,101,95.5,19.25,8.73,7.94,4.2,6.77,18579.8,12680.8,129.35,153.12,9347.93,11753.46,16236.45,20568.5,17758.09,574.67,1277.55,48.42,95.28,96.11,12156,17055.2,,1780.2,,,,,0.7844
2015-02-28,,,,,,,,,,,,1.9,1.6,2,3.3,-4.24,1014.8,1419.12,1079.7,1723,861.3,861.7,461.2,1077.42,332.43,3178.5,444.5,197.9849323,106.61,103.12,101.24,101,94.1,17.91,7.13,8.02,17.86,6.77,20697.2,11004.43,121.38,148.4,7957.73,10108.17,13607.04,20106.17,19834.38,1134.64,1056.78,57.93,97.4,96.8,15418,17781.9,,1920,,,,,0.860482143
2015-03-31,5500.5,2608.5,11538.7,7219,209.78,276.75,5759.5,1398,4758.9,3108.1,2880.1,2.3,1.8,2.1,3.7,-2.35,1535.3,1507.5,1176.9,2216.5,1118.9,1097.6,598.9,1136.9,302.47,3596.5,449.5,198.8772217,101.79,100.54,100.08,100.4,104.2,15.54,8.42,8.07,24.29,6.76,20632.33,9472.13,101.9,124.36,7396.6,9292.74,12493.1,19507.39,19729.01,722.17,1049.31,55.79,98.57,97.95,17082,19529.3,6.17,3872,,46.3,375634.2716,21480864.1,1.048877419
2015-04-30,,,,,,,,,,,,2,1.6,1.9,3.5,1.31,1635.8,1988.9,1417.4,1736.4,859.4,877,436.3,1052.75,310.94,3193.4,452.3,198.7342185,100.45,99.55,99.1,99.1,104.6,20.17,7.01,7.29,37.73,6.74,20595.46,8387.92,101.09,122.38,6420.89,8267.57,11004,18982.88,19717.1,975.4,886.6,59.39,99.03,99.54,16170,18760.2,,4599.9,,,,,1.050293333
2015-05-31,,,,,,,,,,,,2,1.7,1.7,3.4,7.66,1547.7,1151.5,1067.9,2034.9,1023.9,1011,503.7,982.52,265.48,3513.8,454.8,198.8339732,98.47,100.18,100.07,97.6,102.4,19.97,7.65,7.46,57.06,6.74,20468.14,8430.78,98.98,118.75,6492.68,8363.17,11051.43,18966.81,19708.31,665.2,1011.98,64.56,99.37,100.1,15290,18319.5,,6240.8,,,,,1.04836129
2015-06-30,6509.4,3505.1,14192.2,9030.5,218.03,257.64,7535.8,1509.2,5024.4,4036.6,3455.5,1.4,1.5,1.7,3.4,11.69,1509.3,1247.7,1382.9,2430.9,612.9,1818,586.9,985.27,274.59,3663.2,456.3,198.9795739,97.28,99.97,100.05,94.3,102.6,18.36,3.85,7.02,61.21,6.73,20288.46,8520.15,99.6,118.1,6355.58,8300.97,10991.81,18849.36,19622.37,633.05,949.23,62.35,99.56,99.59,16221,18735,10.94,7035.7,,49.6,381358.0717,21336910.1,1.048076667
2015-07-31,,,,,,,,,,,,2.5,1.9,1.9,3.5,15.28,1442.9,1395,1570.2,2016.7,931,1085.7,611.8,1123.57,302.68,3779.8,458.1,199.1160988,98.27,100.01,99.99,94.1,99.1,17.69,6.01,7.04,70.48,6.72,20187.49,8501.51,100.73,118.78,6374.53,8213.61,10853.48,18855.4,19493.11,607.66,1240.85,55.87,100.36,99.68,16763,18977,,8735.3,,,,,1.049132258
2015-08-31,,,,,,,,,,,,2.7,1,2,3.4,8.02,1181.6,821.1,1289.9,1917.3,1608.6,308.7,610.1,996.88,290.8,3068.6,459.4,199.2451884,99.7,100.11,99.95,100.3,97.5,20,8.83,6.33,75.9,6.72,20095.84,7315.44,102.33,120.37,5502.8,7089.47,9545.66,17734.27,19309.2,595.15,710.94,46.99,100.71,100.07,16232,16420.8,,8883.7,,,,,1.048596774
